HasProfilePicture,following,follower,HasAccountDescription,likes,posts,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfShare,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfViews,IsABot,username
1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,3171.0,93.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,21.0,1.0,
1.0,2255.0,132.0,1.0,78.0,3.0,0.0,0.0,0.67,26.0,0.0,557.67,1.0,
0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1168.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,169.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,60.0,3.0,0.0,4.0,4.0,0.25,0.0,1.0,1.0,0.0,6.5,0.0,
1.0,3788.0,1606.0,1.0,11000.0,20.0,0.05,1.1,1.0,135.6,0.0,561.0,1.0,
1.0,597.0,118.0,0.0,201.0,15.0,0.33,0.87,0.13,13.2,0.0,1469.47,1.0,
1.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,1920.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,48.0,24500.0,1.0,807400.0,20.0,7.35,28.8,29.55,1335.25,0.2,5658.3,0.0,
1.0,1131.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,1460.0,418.0,1.0,3117.0,20.0,0.2,1.25,0.1,19.75,1.7,162.9,0.0,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,15.0,1766.0,1.0,63100.0,20.0,1.9,7.4,5.35,1384.35,0.45,21870.1,0.0,
1.0,3249.0,227.0,0.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,32.0,1.0,
1.0,90.0,204.0,1.0,3914.0,4.0,2.25,14.5,1.5,970.5,0.0,18724.0,0.0,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,741.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.5,1.0,0.0,19.0,0.0,
1.0,5471.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,463.0,15.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,6.5,1.0,
1.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,2996.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,5280.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,113.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,13.0,2.0,1.0,3.0,3.0,2.67,1.33,0.0,1.0,0.33,11.33,0.0,
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,380.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,339.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,675.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,152.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,330.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,48.0,102900.0,1.0,844600.0,20.0,2.3,146.75,27.75,10788.25,0.45,78850.0,0.0,
1.0,969.0,1300000.0,1.0,25500000.0,20.0,0.15,955.45,413.9,56605.0,0.25,472685.0,0.0,
1.0,674.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.0,4.0,5759.0,1.0,9379.0,20.0,4.6,4.6,15.6,164.0,0.2,3581.2,0.0,
1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
