statuses,date_joined,most_recent_post,following,followers,favourites,lists,tweets_this_week,retweet,retweeted_count,userNameScore,avg_tweets_by_day_of_week,engagment_rate,screen_name,account_type
7098,2009,0,166.0,125.0,12213,2,0.0,0.0,0.0,0.4285714285714286,0.0,0.0,paty_castroo,0.0
79503,2009,0,266.0,511.0,23580,7,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,juusimoes,1.0
20744,2009,0,751.0,737.0,140700,5,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,amrindersingh__,1.0
9613,2009,0,222.0,219.0,9501,4,0.0,0.0,0.0,0.0,0.0,0.0,melrata,1.0
33752,2009,0,1655.0,319.0,9412,18,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,antman8o8,1.0
33314,2009,0,1987.0,10713.0,1288,264,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,mohamedparham,1.0
3506,2009,0,203.0,724.0,1796,8,0.0,0.0,0.0,0.375,0.0,0.0,claytonlovesit,1.0
13528,2009,0,1374.0,346.0,15992,37,0.0,0.0,0.0,0.9,0.0,0.0,tupouleota,1.0
34724,2009,0,866.0,1392.0,4839,6,0.0,0.0,0.0,0.3846153846153846,0.0,0.0,simplyiunique,1.0
42571,2009,0,3604.0,3246.0,291057,4,0.0,0.0,0.0,0.1428571428571429,0.0,0.0,beckilewis,1.0
426,2009,0,112.0,57.0,951,0,0.0,0.0,0.0,0.0,0.0,0.0,essential_word,1.0
9461,2009,0,4720.0,3439.0,59038,95,0.0,0.0,0.0,0.1176470588235294,0.0,0.0,el_doctoruriel,1.0
1872,2009,0,87.0,19.0,1271,0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,nicole_elle17,0.0
1685,2009,0,427.0,100.0,158,3,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,madison_js,0.0
1324,2009,0,205.0,59.0,1951,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,ayshspath,1.0
1340,2009,0,34.0,9.0,500,2,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,generianonym,0.0
1524,2009,0,96.0,64.0,2509,1,0.0,0.0,0.0,0.1052631578947368,0.0,0.0,quinnheraty,1.0
2043,2009,0,98.0,50968.0,0,338,0.0,0.0,0.0,0.9333333333333332,0.0,0.0,brittanybinger,1.0
7514,2009,0,384.0,82.0,10620,0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,kate_mcfarland_,1.0
4108,2009,0,93.0,3265.0,5599,73,0.0,0.0,0.0,0.25,0.0,0.0,jrlindy003,1.0
4500,2009,0,2355.0,490.0,1451,3,0.0,0.0,0.0,0.0,0.0,0.0,n0campbell,1.0
29933,2009,0,367.0,139601.0,5744,1092,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,jotaerreduran,1.0
