IsVerified,HasProfilePicture,following,follower,HasAccountDescription,likes,posts,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfShare,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfViews,avg_videos_by_day_of_week,IsABot
0.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,108.0,6.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,3171.0,93.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,21.0,0.14,1.0
0.0,1.0,245.0,145.0,1.0,471.0,20.0,1.0,0.0,0.0,3.85,0.0,25.2,2.86,-1.0
0.0,1.0,2255.0,132.0,1.0,78.0,3.0,0.0,0.0,0.67,26.0,0.0,557.67,0.43,1.0
0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1168.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,727.0,79.0,0.0,55.0,20.0,0.05,0.05,0.0,1.8,0.05,12.05,2.86,-1.0
0.0,1.0,385.0,8.0,0.0,11.0,5.0,1.6,0.0,0.0,2.2,0.0,4.6,0.71,-1.0
0.0,1.0,261.0,63.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,169.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,3008.0,58.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,165.0,17.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,129.0,6.0,0.0,0.0,3.0,0.33,0.0,0.0,0.0,0.0,3.0,0.43,-1.0
0.0,1.0,60.0,3.0,0.0,4.0,4.0,0.25,0.0,1.0,1.0,0.0,6.5,0.57,0.0
0.0,1.0,340.0,144.0,0.0,587.0,20.0,2.45,0.1,0.0,7.35,0.0,57.0,2.86,-1.0
0.0,1.0,549.0,27.0,1.0,296.0,20.0,0.25,0.3,0.0,1.6,0.15,7.35,2.86,-1.0
0.0,1.0,7641.0,314.0,1.0,174.0,20.0,0.4,0.0,0.0,3.45,0.0,19.55,2.86,-1.0
0.0,1.0,320.0,4.0,0.0,4.0,4.0,0.25,0.0,0.0,1.0,0.0,3.75,0.57,-1.0
0.0,1.0,3788.0,1606.0,1.0,11000.0,20.0,0.05,1.1,1.0,135.6,0.0,561.0,2.86,1.0
0.0,1.0,42.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,597.0,118.0,0.0,201.0,15.0,0.33,0.87,0.13,13.2,0.0,1469.47,2.14,1.0
0.0,1.0,1214.0,42.0,1.0,5.0,1.0,0.0,1.0,0.0,5.0,0.0,17.0,0.14,-1.0
0.0,1.0,285.0,7.0,0.0,6.0,3.0,1.67,0.0,0.0,2.0,0.0,9.33,0.43,-1.0
0.0,1.0,68.0,23.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,1063.0,217.0,0.0,1124.0,20.0,0.9,0.35,0.05,4.55,0.0,106.45,2.86,-1.0
0.0,1.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,313.0,9.0,0.0,62.0,20.0,0.4,0.0,0.0,1.7,0.1,12.95,2.86,-1.0
0.0,1.0,49.0,16.0,0.0,155.0,10.0,0.4,0.4,0.1,14.8,0.1,116.4,1.43,-1.0
0.0,1.0,420.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,516.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,374.0,60.0,0.0,696.0,20.0,0.15,0.45,0.15,3.1,0.1,35.55,2.86,-1.0
0.0,1.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,280.0,821.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,3033.0,4.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,1195.0,93.0,0.0,20.0,4.0,0.25,0.0,0.0,5.0,0.0,19.0,0.57,-1.0
0.0,1.0,1373.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,1920.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,426.0,33.0,1.0,49.0,20.0,0.0,0.15,0.0,1.05,0.0,7.65,2.86,-1.0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,1783.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,4813.0,82.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,129.0,19.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,5787.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,323.0,27.0,1.0,26.0,20.0,0.55,0.0,0.0,0.45,0.0,18.9,2.86,-1.0
0.0,0.0,2771.0,46.0,0.0,9.0,4.0,0.25,0.0,0.0,2.25,0.0,8.0,0.57,-1.0
0.0,1.0,48.0,24500.0,1.0,807400.0,20.0,7.35,28.8,29.55,1335.25,0.2,5658.3,2.86,0.0
0.0,1.0,3519.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,831.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,1131.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,1460.0,418.0,1.0,3117.0,20.0,0.2,1.25,0.1,19.75,1.7,162.9,2.86,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,155.0,220.0,0.0,1589.0,20.0,0.3,0.5,0.0,5.3,0.3,48.35,2.86,-1.0
0.0,1.0,15.0,1766.0,1.0,63100.0,20.0,1.9,7.4,5.35,1384.35,0.45,21870.1,2.86,0.0
0.0,1.0,3249.0,227.0,0.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,32.0,0.14,1.0
0.0,1.0,365.0,17.0,0.0,506.0,20.0,0.8,0.25,0.25,1.4,0.25,18.4,2.86,-1.0
0.0,1.0,144.0,5.0,0.0,4.0,9.0,0.78,0.11,0.0,0.44,0.11,1.0,1.29,-1.0
0.0,1.0,22.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,200.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,90.0,204.0,1.0,3914.0,4.0,2.25,14.5,1.5,970.5,0.0,18724.0,0.57,0.0
0.0,1.0,409.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,258.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,80.0,13.0,0.0,15.0,20.0,0.0,0.0,0.0,0.75,0.0,3.3,2.86,-1.0
0.0,1.0,151.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,741.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,707.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
