IsAccountPrivate,IsVerified,HasProfilePicture,AnzahlFolgeIch,AnzahlFollower,AnzahlLikes,HasAccountDescription,AnzahlPosts,AreLikedVideosPrivate,NumberOfLikedVideos,IsABot
False,False,True,63,0,0,False,0,False,10.0,True
False,False,True,3171,93,3,False,1,False,20.0,True
False,False,True,2255,132,78,True,3,False,9.0,True
False,False,False,1,5,0,True,0,True,0.0,False
False,False,True,1168,89,0,False,0,False,20.0,True
False,False,True,169,6,0,False,0,False,20.0,True
False,False,True,60,3,4,False,4,True,0.0,False
False,False,True,3788,1606,11000,True,20,False,20.0,True
False,False,True,597,118,201,False,15,False,20.0,True
False,False,True,85,0,0,True,0,True,0.0,True
False,False,True,94,0,0,False,0,False,20.0,True
False,False,True,96,0,0,True,0,True,0.0,True
False,False,True,1920,42,0,True,0,False,20.0,True
False,False,False,0,2,0,True,0,True,0.0,True
False,False,True,48,24500,807400,True,20,True,0.0,False
False,False,True,1131,21,0,False,0,False,20.0,True
False,False,True,1460,418,3117,True,20,True,0.0,False
False,False,False,0,0,0,True,0,True,0.0,True
False,False,True,15,1766,63100,True,20,True,0.0,False
False,False,True,3249,227,6,False,1,False,9.0,True
False,False,True,90,204,3914,True,4,False,20.0,False
False,False,False,0,0,0,True,0,True,0.0,True
False,False,True,741,3,0,False,0,False,20.0,True
False,False,True,93,0,0,False,0,True,0.0,True
False,False,True,2,2,2,True,2,True,0.0,False
False,False,True,5471,103,0,False,0,False,20.0,True
False,False,False,0,4,0,True,0,True,0.0,True
False,False,True,463,15,6,False,2,False,20.0,True
False,False,True,107,0,0,True,0,True,0.0,True
False,False,True,2996,133,0,True,0,False,20.0,True
False,False,True,5280,232,0,False,0,False,20.0,True
False,False,True,113,1,0,True,0,True,0.0,True
False,False,True,13,2,3,True,3,True,0.0,False
False,False,True,22,0,0,False,0,False,10.0,True
True,False,True,380,33,0,False,0,True,0.0,False
False,False,True,339,12,0,False,0,True,0.0,True
False,False,True,107,0,0,True,0,True,0.0,True
False,False,True,107,0,0,True,0,True,0.0,True
False,False,True,675,20,0,False,0,False,20.0,True
False,False,True,152,1,0,True,0,True,0.0,True
False,False,True,330,3,0,False,0,False,20.0,True
False,False,True,48,102900,844600,True,20,True,0.0,False
False,True,True,969,1300000,25500000,True,20,True,0.0,False
False,False,True,674,25,0,False,0,False,20.0,True
False,False,True,4,5759,9379,True,20,True,0.0,False
False,False,True,56,0,0,False,0,False,10.0,True
False,False,True,25,0,0,True,0,True,0.0,True
True,False,True,87,82,0,False,0,True,0.0,False
False,False,True,402,12,0,False,0,False,20.0,True
False,False,True,643,13,0,False,0,True,0.0,True
False,False,True,1258,47,0,False,0,False,20.0,True
False,False,True,78,0,0,False,0,True,0.0,True
False,False,True,342,58,703,False,12,True,0.0,False
False,False,True,123,0,0,True,0,True,0.0,True
False,False,True,37,32,680,False,20,True,0.0,False
False,False,True,1280,51,14,False,1,True,0.0,False
False,False,True,839,601,247,True,0,True,0.0,False
False,False,True,204,830,9702,True,20,True,0.0,False
False,False,True,106,1,0,True,0,True,0.0,True
False,False,True,216,10,0,False,0,False,20.0,True
False,False,True,260,2,0,False,0,False,20.0,True
False,False,True,445,20,11,False,3,False,20.0,True
False,False,True,90,0,0,False,0,False,20.0,True
False,False,True,175,78,562,True,20,True,0.0,False
False,False,True,424,4,0,False,0,False,20.0,True
False,False,True,663,107,0,False,0,True,0.0,False
False,False,True,39,0,0,True,0,True,0.0,True
False,False,True,395,6,0,False,0,False,20.0,True
False,False,True,105,0,0,True,0,True,0.0,True
False,False,True,310,9980,12000,True,20,True,0.0,False
False,False,True,282,380,2081,True,6,True,0.0,False
False,False,True,805,40,1,True,3,False,9.0,True
False,False,False,0,8,0,False,0,True,0.0,True
False,False,False,0,0,0,True,0,True,0.0,True
False,False,True,49,85400,327200,True,20,True,0.0,False
False,False,True,114,0,0,True,0,True,0.0,True
False,False,True,27,5,2,False,3,True,0.0,False
False,False,True,511,17,0,False,0,False,20.0,True
False,False,True,144,623000,7800000,True,20,True,0.0,False
False,False,True,5,2,0,True,0,False,20.0,False
True,False,True,132,0,0,False,0,True,0.0,False
False,False,True,479,6,0,False,0,False,20.0,True
False,False,True,67,0,0,True,0,True,0.0,True
False,False,False,0,5,0,True,0,True,0.0,True
False,False,True,94,0,0,True,0,True,0.0,True
False,False,True,852,15,34,False,15,True,0.0,False
True,False,True,10000,179,152,False,0,True,0.0,False
False,False,True,1646,3418,463,True,1,False,9.0,True
False,False,True,256,9,0,False,0,False,20.0,True
False,False,True,1791,106,4,False,1,False,9.0,True
False,False,True,30,0,0,True,0,True,0.0,True
False,False,True,57,0,0,True,0,True,0.0,True
False,False,True,228,211,844,True,20,True,0.0,False
False,False,True,82,286,3140,True,20,True,0.0,False
False,False,True,29,2,0,False,1,False,9.0,True
False,False,True,129,5,0,False,0,False,15.0,True
False,False,True,108,130400,732100,True,20,True,0.0,False
False,False,True,145,179300,2400000,True,12,True,0.0,False
False,False,True,9,2,0,True,0,True,0.0,False
False,False,True,1871,32,0,False,0,True,0.0,False
False,False,False,0,0,0,True,0,True,0.0,True
False,False,True,420,12,0,False,0,False,20.0,True
False,False,True,353,5,0,False,0,False,20.0,True
False,False,True,1333,45,0,False,0,True,0.0,True
False,False,True,55,218900,6500000,True,20,True,0.0,False
False,False,True,388,114,217,False,16,False,20.0,True
False,False,True,162,107700,838300,True,20,True,0.0,False
False,False,True,1777,7408,76800,True,20,True,0.0,False
False,False,True,840,2710,23000,True,20,True,0.0,False
False,False,False,0,0,0,False,0,True,0.0,True
False,False,True,1423,23,498,False,4,False,20.0,True
False,False,True,1055,35,0,False,0,False,20.0,True
False,False,True,378,11,0,False,0,False,20.0,True
False,False,True,1223,54,7,True,1,False,20.0,True
False,False,True,1769,29,28,False,9,False,20.0,True
False,False,False,24,0,0,False,0,True,0.0,True
False,False,True,273,4,0,False,0,False,20.0,True
False,False,True,46,32,0,False,0,True,0.0,False
False,False,True,491,27,2,False,9,False,20.0,True
False,False,True,479,21,0,False,0,False,20.0,True
False,True,True,26,3700000,47200000,True,20,True,0.0,False
False,False,True,93,0,0,True,0,True,0.0,True
False,False,True,173,3,0,False,0,False,20.0,True
False,False,True,656,20,0,False,0,False,12.0,True
False,False,True,247,91,1576,True,20,True,0.0,False
False,False,True,446,761200,8000000,True,20,False,20.0,False
False,True,True,27,1900000,61300000,True,20,True,0.0,False
False,False,True,799,26,0,False,0,False,20.0,True
False,False,True,34,943,9895,True,5,True,0.0,False
False,False,False,0,0,0,True,0,True,0.0,True
True,False,True,165,61,0,False,0,True,0.0,False
False,False,True,436,17,0,False,0,False,20.0,True
False,True,True,198,1100000,27800000,True,20,True,0.0,False
False,False,True,0,83,42,True,11,True,0.0,False
False,False,True,86,0,0,True,0,True,0.0,True
False,False,True,2,92700,386200,True,20,True,0.0,False
False,False,True,367,4,0,False,0,False,20.0,True
False,False,True,66,2656,10100,True,20,True,0.0,False
False,False,True,508,9,0,False,0,False,20.0,True
False,False,True,257,5,0,False,0,False,20.0,True
False,False,True,13,7,0,True,0,True,0.0,False
False,False,True,9992,546,880,True,20,False,20.0,True
False,False,True,295,222,487,True,2,True,0.0,False
False,False,True,340,2,0,False,0,False,20.0,True
False,False,True,116,3,0,False,0,False,20.0,True
True,False,True,782,133,957,False,0,True,0.0,False
False,False,True,124,777,69000,True,20,True,0.0,False
False,False,True,82,0,0,True,0,True,0.0,True
False,False,True,57,475,697,True,6,True,0.0,True
False,False,True,250,143,957,True,20,True,0.0,False
False,False,True,294,13,0,False,6,False,1.0,True
False,False,True,60,0,0,False,0,False,8.0,True
False,False,True,247,4,0,False,0,False,12.0,True
False,False,True,589,9,0,False,0,False,20.0,True
False,False,True,538,132800,4900000,True,20,True,0.0,False
False,False,True,62,0,0,True,0,True,0.0,True
False,False,True,451,212,7103,True,20,True,0.0,False
False,False,True,16,12,10,True,0,True,0.0,False
False,False,True,117,3,0,True,0,True,0.0,True
False,False,True,350,7,0,False,0,False,20.0,True
False,False,True,5,0,0,False,0,True,0.0,False
False,False,True,90,2,0,True,0,True,0.0,True
False,False,True,3680,125,3,True,10,False,20.0,True
True,False,True,112,164,2010,False,0,True,0.0,False
False,False,True,86,4,0,False,0,True,0.0,False
False,False,True,158,13,8,False,1,False,20.0,True
False,False,True,212,12,6,True,0,True,0.0,False
False,False,True,34,11,0,False,0,True,0.0,False
True,False,True,246,22,0,False,0,True,0.0,False
False,False,True,253,2100000,37400000,True,20,True,0.0,False
False,False,True,238,2,0,False,0,False,20.0,True
False,False,True,833,42,13,False,2,False,20.0,True
False,False,True,517,354,0,True,0,True,0.0,False
False,False,True,78,0,0,True,0,True,0.0,True
False,False,True,335,10,0,False,0,False,20.0,True
False,False,True,703,25,0,False,0,False,20.0,True
False,False,True,492,5642,39100,True,20,True,0.0,False
False,False,True,274,19,0,False,0,False,20.0,True
False,False,True,52,43100,238100,True,20,True,0.0,False
False,False,True,68,0,0,False,0,False,20.0,True
False,False,True,667,14,0,False,0,False,20.0,True
False,False,True,131,169,0,False,0,True,0.0,False
False,False,True,140,1,0,True,0,True,0.0,True
False,False,True,1810,71,0,False,0,False,20.0,True
False,False,True,329,8,0,False,0,False,20.0,True
False,False,True,444,448,808,True,12,False,20.0,True
False,False,True,25,0,0,True,0,True,0.0,True
False,False,True,0,6711,119200,True,20,True,0.0,False
False,False,True,2112,1638,1170,True,20,False,20.0,True
False,False,True,188,1,0,False,0,False,20.0,True
False,False,True,92,0,0,True,0,True,0.0,True
False,False,True,2559,374,395,True,4,False,20.0,True
False,False,True,422,1700000,25900000,True,20,True,0.0,False
False,True,True,7,2000000,60600000,True,20,True,0.0,False
False,False,True,588,42,0,False,0,False,20.0,True
False,False,True,671,35,0,False,4,False,20.0,True
True,False,True,183,264,467,False,0,True,0.0,False
False,False,True,357,83,1674,True,20,True,0.0,False
False,False,True,4,17,0,True,0,True,0.0,False
False,False,True,90,0,0,True,0,True,0.0,True
False,False,True,28,345,69,True,1,True,0.0,False
False,False,True,706,651,11600,True,20,True,0.0,False
False,False,True,66,232100,1700000,True,20,True,0.0,False
False,False,True,378,6,0,False,0,False,20.0,True
False,False,True,362,2,0,False,0,False,20.0,True
False,False,True,109,94500,816400,True,20,True,0.0,False
False,False,True,3134,132,0,False,0,False,20.0,True
False,False,True,887,39,0,False,0,False,20.0,True
False,False,True,164,10300,4375,True,20,True,0.0,False
False,False,True,179,12,117,False,17,False,20.0,True
True,False,True,60,9,0,False,0,True,0.0,False
False,True,True,1,8400000,185800000,True,3,True,0.0,False
False,False,True,1549,20800,1300000,True,20,True,0.0,False
False,False,False,30,4,13,False,1,True,0.0,False
False,False,True,264,131,20,True,1,False,20.0,True
False,False,True,200,151,1372,True,3,True,0.0,False
False,False,False,0,0,0,True,0,True,0.0,True
False,False,True,347,5,0,False,0,False,20.0,True
False,False,True,428,0,0,False,1,False,20.0,True
False,False,True,101,0,0,True,0,True,0.0,True
False,False,True,22,1,0,False,0,True,0.0,False
False,False,False,0,9,0,False,0,True,0.0,True
False,False,True,1840,270,0,False,0,False,20.0,False
False,False,True,379,8,0,False,0,False,20.0,True
False,False,True,793,27,0,False,0,False,20.0,True
False,False,True,1353,132,326,True,20,False,20.0,True
False,False,True,366,3,0,False,0,False,20.0,True
False,False,True,149,0,0,True,0,True,0.0,True
False,False,True,36,13,0,True,0,True,0.0,False
False,False,True,57,0,0,False,0,False,20.0,True
False,False,True,1265,2600000,104800000,True,20,True,0.0,False
False,False,True,44,0,0,False,0,False,13.0,True
False,False,True,90,40,59,True,4,True,0.0,False
