Id	IsAccountPrivate	IsVerified	HasProfilePicture	AnzahlFolgeIch	AnzahlFollower	AnzahlLikes	HasInstagramLink	HasYoutubeLink	HasAccountDescription	HasLinkInDescription	LinkInDescription	PostsExist	AnzahlPosts	AreLikedVideosPrivate	NumberOfLikedVideos	VerhaeltnisFolgeIchProFollower	VerhaeltnisLikesProFollower	AverageNumberOfHashtags	AverageNumberOfComments	AverageNumberOfCharacters	AverageNumberOfForwardings	AverageNumberOfLikes	AverageNumberOfLinkedProfiles	AverageNumberOfUsedFilters	LikedAverageNumberOfHashtags	LikedAverageNumberOfComments	LikedAverageNumberOfCharacters	LikedAverageNumberOfForwardings	LikedAverageNumberOfLikes	LikedAverageNumberOfLinkedProfiles	LikedAverageNumberOfUsedFilters	AverageNumberOfViews	LikedAverageNumberOfViews	VerhaeltnisLikesProAufruf	VerhaeltnisCommentsProAufruf	IsABot
A9D326A9-2CB9-4396-897C-000188C0A54E	False	False	True	63	0	0	False	False	False	False		False	0	False	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	146.1	57.8	198.2	24550.1	0.0	0.2	0.0	152410.0	0.0	0.0	True
9A60337F-64D3-468F-A20F-0017CD58C59A	True	False	True	108	6	34	False	False	False	False		False	0	True	0	18.0	5.666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
A4919958-31BA-4813-9B70-0017E92527C7	False	False	True	3171	93	3	False	False	False	False		True	1	False	20	34.096774193548384	0.03225806451612903	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.65	24.05	65.4	68.2	2782.05	0.25	0.15	21.0	19475.1	0.14285714285714285	0.0	True
4026CA43-1F0D-42C7-AA7F-001E55ECB80A	False	False	True	245	145	471	False	True	True	False		True	20	True	0	1.6896551724137931	3.2482758620689656	1.0	0.0	10.4	0.0	3.85	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.2	0.0	0.1527777777777778	0.0	
7EE88B39-58A2-4CBF-8D32-001FAC568DA2	False	False	True	2255	132	78	False	False	True	False		True	3	False	9	17.083333333333332	0.5909090909090909	0.0	0.0	8.666666666666666	0.6666666666666666	26.0	0.0	0.0	3.888888888888889	3.5555555555555554	49.333333333333336	1.3333333333333333	194.88888888888889	0.1111111111111111	0.2222222222222222	557.6666666666666	1300.111111111111	0.0466228332337119	0.0	True
982340CD-16A9-4A8C-BCA0-00238E432A02	False	False	False	1	5	0	False	False	True	False		False	0	True	0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
73545CEF-5638-4F25-8F49-0023C1757363	False	False	True	1168	89	0	False	False	False	False		False	0	False	20	13.123595505617978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45	120.45	49.5	16.65	6253.35	0.05	0.15	0.0	67901.7	0.0	0.0	True
0CA73C78-D1DF-4508-86CC-0044299A2560	False	False	True	727	79	55	False	False	False	False		True	20	True	0	9.20253164556962	0.6962025316455697	0.05	0.05	2.05	0.0	1.8	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.05	0.0	0.14937759336099585	0.004149377593360996	
CC93AC1E-C388-4FCC-8742-0046662A0B01	False	False	True	385	8	11	False	False	False	False		True	5	True	0	48.125	1.375	1.6	0.0	33.8	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6	0.0	0.47826086956521746	0.0	
763D9B3F-55C4-44C2-87FB-004BF1A97D40	True	False	True	261	63	551	False	False	False	False		False	0	True	0	4.142857142857143	8.746031746031745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
