statuses,date_joined,most_recent_post,following,followers,favourites,lists,tweets_this_week,retweet,retweeted_count,userNameScore,avg_tweets_by_day_of_week,engagment_rate,screen_name,account_type
7098,2009,0,166.0,125.0,12213,2,0.0,0.0,0.0,0.4285714285714286,0.0,12500.0,paty_castroo,0
79503,2009,0,266.0,511.0,23580,7,0.0,0.0,0.0,0.5555555555555556,0.0,51100.0,JuuSimoes,1
20744,2009,0,751.0,737.0,140700,5,0.0,0.0,0.0,0.5333333333333333,0.0,73700.0,AmrinderSingh__,1
9613,2009,0,222.0,219.0,9501,4,0.0,0.0,0.0,0.0,0.0,21900.0,melrata,1
33752,2009,0,1655.0,319.0,9412,18,0.0,0.0,0.0,0.2222222222222222,0.0,31900.0,antman8o8,1
33314,2009,0,1987.0,10713.0,1288,264,0.0,0.0,0.0,0.4583333333333333,0.0,1071300.0,mohamedparham,1
3506,2009,0,203.0,724.0,1796,8,0.0,0.0,0.0,0.375,0.0,72400.0,claytonlovesit,1
13528,2009,0,1374.0,346.0,15992,37,0.0,0.0,0.0,0.9,0.0,34600.0,tupouleota,1
34724,2009,0,866.0,1392.0,4839,6,0.0,0.0,0.0,0.3846153846153846,0.0,139200.0,Simplyiunique,1
42571,2009,0,3604.0,3246.0,291057,4,0.0,0.0,0.0,0.1428571428571429,0.0,324600.0,BeckiLewis,1
426,2009,0,112.0,57.0,951,0,0.0,0.0,0.0,0.0,0.0,5700.0,Essential_Word,1
9461,2009,0,4720.0,3439.0,59038,95,0.0,0.0,0.0,0.1176470588235294,0.0,343900.0,El_DoctorUriel,1
1872,2009,0,87.0,19.0,1271,0,0.0,0.0,0.0,0.3157894736842105,0.0,1900.0,nicole_elle17,0
1685,2009,0,427.0,100.0,158,3,0.0,0.0,0.0,0.3333333333333333,0.0,10000.0,madison_js,0
1324,2009,0,205.0,59.0,1951,1,0.0,0.0,0.0,0.3333333333333333,0.0,5900.0,ayshspath,1
1340,2009,0,34.0,9.0,500,2,0.0,0.0,0.0,0.0833333333333333,0.0,900.0,generianonym,0
1524,2009,0,96.0,64.0,2509,1,0.0,0.0,0.0,0.1052631578947368,0.0,6400.0,quinnheraty,1
2043,2009,0,98.0,50968.0,0,338,0.0,0.0,0.0,0.9333333333333332,0.0,5096800.0,BrittanyBinger,1
7514,2009,0,384.0,82.0,10620,0,0.0,0.0,0.0,0.0666666666666666,0.0,8200.0,Kate_McFarland_,1
4108,2009,0,93.0,3265.0,5599,73,0.0,0.0,0.0,0.25,0.0,326500.0,JRLindy003,1
4500,2009,0,2355.0,490.0,1451,3,0.0,0.0,0.0,0.0,0.0,49000.0,N0Campbell,1
29933,2009,0,367.0,139601.0,5744,1092,0.0,0.0,0.0,0.3076923076923077,0.0,13960100.0,jotaerreduran,1
242,2009,0,416.0,90821.0,21778,631,0.0,0.0,0.0,0.9090909090909092,0.0,9082100.0,MhelMarrer,1
7254,2009,0,558.0,233.0,1049,15,0.0,0.0,0.0,0.0769230769230768,0.0,23300.0,landsharkblog,1
2356,2009,0,0.0,545599.0,127,3710,0.0,0.0,0.0,0.9,0.0,54559900.0,Jerry_Remy,1
16395,2009,0,800.0,1676.0,24564,17,0.0,0.0,0.0,0.0799999999999999,0.0,167600.0,MarcusKBye,1
12015,2009,0,1109.0,120075.0,17278,654,0.0,0.0,0.0,0.4615384615384615,0.0,12007500.0,JSutta,1
14399,2009,0,2792.0,1603.0,3061,53,0.0,0.0,0.0,0.6875,0.0,160300.0,lynnekingsmith,1
70981,2009,0,360.0,557.0,2729,17,0.0,0.0,0.0,0.5,0.0,55700.0,Will_H86,1
198,2009,0,486.0,33.0,343,0,0.0,0.0,0.0,0.55,0.0,3300.0,mluizabegnossi,0
1531,2009,0,1099.0,208.0,3638,4,0.0,0.0,0.0,0.9090909090909092,0.0,20800.0,AndreJFoltz,1
78,2009,0,1333.0,55127.0,27527,286,0.0,0.0,0.0,0.7692307692307692,0.0,5512700.0,raymondbraun,1
3343,2009,0,99.0,57.0,3777,0,0.0,0.0,0.0,0.0,0.0,5700.0,HEYJESSlCA,1
185193,2009,0,25258.0,25109.0,334555,40,0.0,0.0,0.0,0.2222222222222222,0.0,2510900.0,Dobieblue,1
6069,2009,0,475.0,402.0,625,9,0.0,0.0,0.0,0.1428571428571429,0.0,40200.0,jizicat,1
6922,2009,0,864.0,907.0,3760,60,0.0,0.0,0.0,1.0,0.0,90700.0,guerrillareads,1
4314,2009,0,1649.0,2121.0,6643,90,0.0,0.0,0.0,0.1111111111111111,0.0,212100.0,thepapaya,1
14262,2009,0,300.0,270.0,1694,2,0.0,0.0,0.0,0.7692307692307692,0.0,27000.0,rickyIsetiadi,1
9431,2009,0,1097.0,415.0,6114,1,0.0,0.0,0.0,0.5555555555555556,0.0,41500.0,TYREN_FOX,1
2758,2009,0,6.0,7.0,2142,0,0.0,0.0,0.0,0.2941176470588235,0.0,700.0,shellpelt,0
39102,2009,0,205.0,2396.0,22844,82,0.0,0.0,0.0,0.5,0.0,239600.0,SPEEROTHEKID,1
