,verified,statuses,location,date_joined,most_recent_post,following,followers,favourites,lists,tweet_language,tweets_this_week,retweet,retweeted_count,url,userNameScore,avg_tweets_by_hour_of_day,avg_tweets_by_day_of_week,screen_name,account_type,following/years,followers/lastpost
0,0,270,1,2010,2022,131.0,55.0,1484,2,1,0.0,32.0,103418.0,0,0.6428571428571428,2.0,6.857,CBirckner,1,3877.418252390419,412140.76978417265
1,1,15851,1,2010,2022,39.0,71644.0,20105,172,2,0.0,20.0,66477.0,1,0.6,8.333,28.571,DavidHenaoModel,1,3969.418252390419,340551.76978417265
2,1,583,0,2013,2022,92.0,1041118.0,4537,2327,1,0.0,40.0,186742.0,1,0.75,8.333,28.571,BenSimmons25,1,3916.418252390419,-628922.2302158274
3,0,1045,1,2009,2022,271.0,76.0,1290,3,1,0.0,116.0,931561.0,0,0.6666666666666667,8.333,28.571,MGMuellner,1,3737.418252390419,412119.76978417265
4,1,1503,0,2016,2022,144.0,2477667.0,2285,1024,1,0.0,70.0,152267.0,0,0.9230769230769232,8.25,28.286,camilamendes,1,3864.418252390419,-2065471.2302158275
5,0,3646,0,2015,2022,56.0,78.0,12580,0,4,0.0,122.0,1419259.0,0,0.3,6.083,20.857,Andrew0354,1,3952.418252390419,412117.76978417265
6,0,23605,1,2013,2022,3942.0,1962.0,139007,20,1,0.0,126.0,257834.0,0,0.0588235294117647,8.042,27.571,TheOneMainChick,1,66.41825239041918,410233.76978417265
7,1,460,0,2009,2022,2.0,692261.0,1,5921,1,0.0,62.0,42033.0,1,0.25,8.333,28.571,krauthammer,1,4006.418252390419,-280065.23021582735
8,0,6183,1,2011,2021,834.0,446.0,3535,10,5,0.0,56.0,5245.0,0,0.5882352941176471,8.208,28.143,francescaonair,1,3174.418252390419,411749.76978417265
9,0,19463,1,2009,2021,193.0,248.0,150,4,1,0.0,0.0,954.0,1,0.6428571428571428,8.333,28.571,gaverywilson,1,3815.418252390419,411947.76978417265
10,0,4317,1,2010,2021,1141.0,3340.0,4144,127,1,0.0,48.0,4143.0,1,0.9230769230769232,8.333,28.571,StewartMader,1,2867.418252390419,408855.76978417265
11,1,10879,0,2011,2022,794.0,631250.0,2234,703,1,0.0,30.0,530.0,1,0.6,8.292,28.429,AmeliaLilyOffic,1,3214.418252390419,-219054.23021582735
12,1,14827,1,2011,2022,2430.0,2260.0,6286,98,5,0.0,88.0,73436.0,1,0.1999999999999999,8.333,28.571,jeshuf,1,1578.4182523904192,409935.76978417265
13,0,812,1,2012,2022,408.0,696.0,1729,5,1,0.0,0.0,1534.0,1,0.1428571428571429,8.333,28.571,therealcamile,1,3600.418252390419,411499.76978417265
14,0,5684,1,2009,2022,439.0,415174.0,17,985,1,0.0,8.0,1903.0,0,0.8125,8.25,28.286,phoemelabaranda,1,3569.418252390419,-2978.2302158273524
15,0,331,1,2015,2022,328.0,141.0,458,5,1,0.0,102.0,356137.0,0,0.5,8.25,28.286,alghuizar,1,3680.418252390419,412054.76978417265
16,1,17281,1,2011,2022,812.0,245611.0,5593,94,2,0.0,10.0,9295.0,0,0.5384615384615384,8.042,27.571,florivonVeliz,1,3196.418252390419,166584.76978417265
17,1,15692,0,2009,2022,1974.0,1465976.0,3,6551,1,0.0,32.0,121417.0,1,0.3076923076923077,8.25,28.286,diggy_simmons,1,2034.4182523904192,-1053780.2302158275
18,0,2290,1,2009,2022,504.0,311.0,4758,23,1,0.0,132.0,2125935.0,0,0.1333333333333333,8.25,28.286,eatpastry,1,3504.418252390419,411884.76978417265
19,0,38824,0,2013,2022,843.0,607.0,9957,3,1,0.0,100.0,2329816.0,1,0.1999999999999999,4.625,15.857,baddgalmel,1,3165.418252390419,411588.76978417265
20,1,4877,0,2011,2022,5.0,1063456.0,336,1778,1,0.0,0.0,48.0,1,0.2307692307692307,1.333,4.571,IrynaIvanova,1,4003.418252390419,-651260.2302158274
21,0,1639,1,2009,2022,732.0,192.0,969,0,1,0.0,112.0,3336384.0,1,0.4,8.083,27.714,kristinmargaret,1,3276.418252390419,412003.76978417265
22,0,2329,1,2016,2022,103.0,30.0,3180,0,1,0.0,16.0,179667.0,0,0.5714285714285714,8.333,28.571,realmeaney,1,3905.418252390419,412165.76978417265
23,1,15834,1,2009,2022,1833.0,1681008.0,44,3132,1,0.0,92.0,263172.0,1,0.3333333333333333,8.333,28.571,DAVIDprice24,1,2175.418252390419,-1268812.2302158275
24,1,4731,1,2009,2022,1116.0,173703.0,1666,1346,1,0.0,52.0,1935.0,1,0.125,8.292,28.429,balletrusse,1,2892.418252390419,238492.76978417265
25,0,10597,1,2010,2021,487.0,591.0,9937,0,1,0.0,82.0,3910029.0,1,0.3636363636363636,7.583,26.0,narahsoblin,1,3521.418252390419,411604.76978417265
26,0,1275,1,2014,2022,274.0,1308.0,1457,11,1,0.0,40.0,270688.0,1,0.6,8.167,28.0,allisonleigh_sm,1,3734.418252390419,410887.76978417265
27,0,4325,1,2013,2022,1929.0,1317.0,38803,40,1,0.0,192.0,2151989.0,1,0.0,8.292,28.429,McKayLL,1,2079.418252390419,410878.76978417265
28,0,3191,1,2013,2022,1055.0,89.0,5054,3,1,0.0,20.0,88804.0,0,0.5333333333333333,8.125,27.857,BredellJ,1,2953.418252390419,412106.76978417265
29,0,5807,1,2009,2022,126.0,151.0,6817,0,1,0.0,10.0,147632.0,0,0.4285714285714286,8.333,28.571,anniesanspants,1,3882.418252390419,412044.76978417265
30,0,18075,1,2016,2022,2661.0,1683.0,200707,1,1,0.0,188.0,4522172.0,1,0.3333333333333333,8.125,27.857,kris10381,1,1347.4182523904192,410512.76978417265
31,0,1205,1,2009,2022,206.0,84.0,830,1,10,0.0,2.0,17448.0,0,0.9285714285714286,1.458,5.0,MemoCervantes,1,3802.418252390419,412111.76978417265
32,0,3736,1,2013,2022,71.0,69.0,6745,1,1,0.0,64.0,2932316.0,0,0.4285714285714286,7.167,24.571,Nanncyylovvee,1,3937.418252390419,412126.76978417265
33,0,1193,1,2009,2022,75.0,42327.0,109,60,2,0.0,0.0,36.0,1,0.9,8.333,28.571,GuidoKarp,1,3933.418252390419,369868.76978417265
34,0,892,1,2008,2022,354.0,66.0,3446,0,1,0.0,2.0,215.0,1,0.5789473684210527,8.333,28.571,jorgefarfanart,1,3654.418252390419,412129.76978417265
35,0,368,1,2017,2022,217.0,16.0,12411,0,1,0.0,30.0,998771.0,0,0.9285714285714286,8.292,28.429,BrynnaJBridges,1,3791.418252390419,412179.76978417265
36,0,1136,1,2011,2022,243.0,3038.0,103,20,2,0.0,56.0,3002.0,1,0.7857142857142857,8.333,28.571,domingozapata,1,3765.418252390419,409157.76978417265
37,1,5236,0,2009,2022,152.0,3004907.0,4339,3719,8,0.0,22.0,5064.0,1,0.7692307692307692,8.25,28.286,sertaberener,1,3856.418252390419,-2592711.2302158275
38,0,32407,1,2009,2021,365279.0,304971.0,4,1250,22,0.0,4.0,5114.0,1,0.5555555555555556,8.333,28.571,Zorrozone,1,-361270.5817476096,107224.76978417265
39,1,7076,0,2009,2022,516.0,1700952.0,2963,10400,1,0.0,44.0,698196.0,1,0.7272727272727273,8.292,28.429,oliviawilde,1,3492.418252390419,-1288756.2302158275
40,0,3648,1,2009,2022,0.0,4825.0,3435,64,1,0.0,38.0,30939.0,1,0.4117647058823529,8.167,28.0,ValerieABC27,1,4008.418252390419,407370.76978417265
41,0,4521,1,2017,2022,402.0,169.0,14136,0,1,0.0,10.0,121976.0,0,0.4,8.292,28.429,angelicangelala,1,3606.418252390419,412026.76978417265
42,0,2198,1,2009,2022,142.0,50.0,1615,1,1,0.0,114.0,168807.0,1,0.2142857142857143,5.625,19.286,djbigdaddydave,1,3866.418252390419,412145.76978417265
43,1,16136,1,2009,2022,10798.0,421335.0,3285,1681,1,0.0,26.0,8171.0,1,0.1428571428571429,8.25,28.286,GavinRossdale,1,-6789.581747609581,-9139.230215827352
44,0,6405,1,2009,2022,1261.0,1222.0,20073,0,1,0.0,56.0,537597.0,0,0.0,8.0,27.429,toxickachina,1,2747.418252390419,410973.76978417265
45,0,1313,1,2012,2022,261.0,68.0,1295,4,1,0.0,118.0,2286565.0,1,0.2727272727272727,8.292,28.429,naprice69,1,3747.418252390419,412127.76978417265
46,1,9530,1,2009,2022,225.0,168016.0,46,2740,1,0.0,14.0,20486.0,0,0.1764705882352941,8.333,28.571,dizzyfeet,1,3783.418252390419,244179.76978417265
47,0,2767,1,2015,2021,164.0,192.0,9225,1,1,0.0,154.0,2223032.0,0,0.0,7.083,24.286,dalilascps,1,3844.418252390419,412003.76978417265
48,0,3133,1,2010,2022,47.0,23.0,1807,2,4,0.0,66.0,196283.0,1,1.0,7.208,24.714,IncredibleMrTim,1,3961.418252390419,412172.76978417265
49,0,2400,1,2008,2022,475.0,319.0,4743,13,1,0.0,60.0,614940.0,0,0.2727272727272727,8.292,28.429,snarkysarah,1,3533.418252390419,411876.76978417265
50,0,4773,1,2015,2022,2011.0,1977.0,2867,58,1,0.0,112.0,57932.0,1,0.3125,8.333,28.571,ArefaMD,1,1997.4182523904192,410218.76978417265
51,0,1629,1,2012,2022,872.0,194.0,4402,3,1,0.0,10.0,21042.0,1,0.0,8.333,28.571,FourCourseEnt,1,3136.418252390419,412001.76978417265
52,1,1666,0,2011,2022,533.0,1339676.0,1026,1087,10,0.0,168.0,25414.0,1,0.3888888888888888,8.125,27.857,benjavicunamori,1,3475.418252390419,-927480.2302158274
53,1,283,0,2014,2022,90.0,140677.0,1002,528,1,0.0,88.0,12680.0,1,0.3333333333333333,8.333,28.571,Char_mck,1,3918.418252390419,271518.76978417265
54,1,183345,1,2009,2022,4047023.0,2049158.0,11507,4049,1,0.0,32.0,2648.0,1,0.1395348837209302,8.333,28.571,6BillionPeople,1,-4043014.5817476097,-1636962.2302158275
55,1,42715,1,2009,2021,260.0,4684951.0,11202,3430,15,0.0,116.0,40781.0,1,0.5,7.875,27.0,lafouine78,1,3748.418252390419,-4272755.230215827
56,0,20763,1,2012,2022,236.0,7516.0,2221,109,1,0.0,10.0,229.0,1,0.0869565217391304,8.333,28.571,abc7gmw,1,3772.418252390419,404679.76978417265
57,0,328,0,2011,2022,269.0,18.0,220,5,1,0.0,132.0,315051.0,0,0.75,5.708,19.571,thanosilva,1,3739.418252390419,412177.76978417265
58,0,7789,1,2009,2022,136.0,48.0,1826,4,1,0.0,96.0,295449.0,0,0.0909090909090909,4.458,15.286,its_me_rose,1,3872.418252390419,412147.76978417265
59,1,3405,1,2013,2022,227.0,1996462.0,2630,3239,1,0.0,26.0,238459.0,1,0.9230769230769232,8.333,28.571,Lupita_Nyongo,1,3781.418252390419,-1584266.2302158275
60,0,1252,1,2009,2021,116.0,301.0,57,8,1,0.0,12.0,135.0,1,0.3333333333333333,8.333,28.571,AMCWOMENSSOCCER,1,3892.418252390419,411894.76978417265
61,1,9459,1,2009,2022,932.0,11048.0,2009,428,1,0.0,56.0,16735.0,1,0.5294117647058824,8.333,28.571,SenTaylor,1,3076.418252390419,401147.76978417265
