verified,statuses,location,date_joined,most_recent_post,following,followers,favourites,lists,tweet_language,tweets_this_week,retweet,retweeted_count,URL works,userNameScore,avg_tweets_by_hour_of_day,avg_tweets_by_day_of_week,account_type,screen_name
0,270,1,2010,2022,131.0,55.0,1484,2,1,0.0,32.0,103418.0,0,0.6428571428571428,2.0,6.857,1,CBirckner
0,14302,0,2012,2023,440.0,557.0,2958,2,1,0.0,154.0,867392.0,0,0.0,8.083,27.714,1,amf_jay
0,4585,1,2009,2023,288.0,111.0,7983,3,1,0.0,108.0,2996382.0,0,0.9090909090909092,8.167,28.0,1,SaraCavolo
1,15851,1,2010,2022,39.0,71644.0,20105,172,2,0.0,20.0,66477.0,1,0.6,8.333,28.571,1,DavidHenaoModel
0,115,0,2016,2017,0.0,0.0,47,0,1,0.0,66.0,236220.0,0,0.7857142857142857,4.167,14.286,1,taina_griffith
0,13387,1,2012,0,3958.0,463.0,36771,33,0,0.0,0.0,0.0,1,0.4347826086956522,0.0,0.0,1,EmmaDingle
0,439,0,2010,2017,0.0,2.0,10,0,4,0.0,2.0,818.0,0,0.4545454545454546,8.25,28.286,1,Gabby143ILY
1,1853,1,2010,2023,21.0,5464453.0,232,1000,5,8.0,90.0,448954.0,0,1.0,8.25,28.286,1,ARMurugadoss
1,583,0,2013,2022,92.0,1041118.0,4537,2327,1,0.0,40.0,186742.0,1,0.75,8.333,28.571,1,BenSimmons25
0,4667,0,2012,2023,380.0,292.0,1256,1,1,4.0,104.0,469968.0,0,0.9333333333333332,8.292,28.429,1,JarenHumphreys
1,80523,1,2010,2023,1890.0,436404.0,34798,1249,1,51.0,96.0,66199.0,0,0.7692307692307692,8.208,28.143,1,barrybateman
0,560,1,2016,2017,0.0,25.0,241,0,1,0.0,124.0,280152.0,0,0.0769230769230768,5.208,17.857,1,Melanated_Ntr
0,31240,0,2011,0,373.0,450.0,30798,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,iffahhhhh_
0,5458,1,2009,2023,63.0,128.0,7256,0,1,1.0,10.0,53.0,0,0.0999999999999999,8.333,28.571,1,Turkeyboy1
0,120,0,2015,2020,394.0,31.0,179,0,1,0.0,72.0,16232.0,1,0.1111111111111111,4.958,17.0,1,sashafoxx
0,52117,1,2009,2023,573.0,620.0,106049,2,1,46.0,16.0,39063.0,0,0.0,8.333,28.571,1,duvaltilidie
0,48950,0,2012,0,1817.0,475.0,35615,8,0,0.0,0.0,0.0,0,0.1111111111111111,0.0,0.0,1,heyitsmjc
0,0,0,2023,0,15.0,1.0,4,0,0,0.0,0.0,0.0,0,0.9090909090909092,0.0,0.0,1,LenaaRenee
0,18865,1,2012,2023,249.0,203382.0,65177,0,8,35.0,178.0,824807.0,1,0.6666666666666667,8.333,28.571,1,bayhazar
1,3755,1,2014,2023,61.0,760874.0,9368,239,1,4.0,2.0,52029.0,0,0.3333333333333333,8.333,28.571,1,paro_nair
0,1197,1,2010,2019,548.0,377.0,479,10,1,0.0,138.0,354675.0,1,0.3125,6.167,21.143,1,jonestvhalifax
0,1045,1,2009,2022,271.0,76.0,1290,3,1,0.0,116.0,931561.0,0,0.6666666666666667,8.333,28.571,1,MGMuellner
